feature,importance
first_crash_type,30.911234691686975
prim_contributory_cause,13.221316156282025
trafficway_type,8.325968350122686
num_units,7.102782885418128
traffic_control_device,5.506124353855891
roadway_surface_cond,4.153795410577669
hour_cos,3.438798202319425
road_defect,3.404200098944035
lighting_condition,2.946999440184512
month_cos,2.842978121613503
hour_sin,2.5465886391413064
weather_condition,2.5134361476948652
crash_hour,2.3500704840453843
crash_day_of_week,2.169896697152845
crash_month,1.96853506858021
month_sin,1.8100435863401383
day_of_week_cos,1.7986882823509838
day_of_week_sin,1.3165378690751033
is_weekend,0.7595417852393771
alignment,0.6560107378248182
intersection_related_i,0.25645299155017787
num_units_was_missing,0.0
