model,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_seconds
CatBoost raw,validation,0.7196571496834309,0.4781036688277343,0.4736338350267202,0.4781036688277343,0.47532280451241354,0.7190408527626754,529.139240200002
CatBoost calibrated,validation,0.7196571496834309,0.4781036688277343,0.4736338350267202,0.4781036688277343,0.47532280451241354,0.7190408527626754,529.139240200002
CatBoost raw,test,0.7214908613068929,0.4801601861455384,0.4774805172493121,0.4801601861455384,0.4785958130713963,0.7209901561453625,529.139240200002
CatBoost calibrated,test,0.7214908613068929,0.4801601861455384,0.4774805172493121,0.4801601861455384,0.4785958130713963,0.7209901561453625,529.139240200002
XGBoost raw,validation,0.7168797037390993,0.46653257682588084,0.4650226983844384,0.46653257682588084,0.46570818806217096,0.7170181198618136,165.48674110000138
XGBoost calibrated,validation,0.7168797037390993,0.46653257682588084,0.4650226983844384,0.46653257682588084,0.46570818806217096,0.7170181198618136,165.48674110000138
XGBoost raw,test,0.717620355990921,0.46482020068250396,0.46377044885431923,0.46482020068250396,0.4642768772886349,0.7179648821861156,165.48674110000138
XGBoost calibrated,test,0.717620355990921,0.46482020068250396,0.46377044885431923,0.46482020068250396,0.4642768772886349,0.7179648821861156,165.48674110000138
FT-Transformer raw,validation,0.723151355871461,0.4850262721851797,0.4779949461232648,0.4850262721851797,0.47875405949202504,0.7180351105389573,260.64016289999927
FT-Transformer calibrated,validation,0.723151355871461,0.4850262721851797,0.4779949461232648,0.4850262721851797,0.47875405949202504,0.7180351105389573,260.64016289999927
FT-Transformer raw,test,0.7250268785091387,0.484365634012141,0.48101971072459343,0.484365634012141,0.4807053895718656,0.7196274369962208,260.64016289999927
FT-Transformer calibrated,test,0.7250268785091387,0.484365634012141,0.48101971072459343,0.484365634012141,0.4807053895718656,0.7196274369962208,260.64016289999927
